A (diketone),B (diketone),A(L1),A(B1),A(B5),B(L1),B(B1),B(B5),eps,temp,yield,yield
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,8.93,25,39,39
194.5,194.5,7.32,1.82,3.15,7.32,1.82,3.15,8.93,25,35,35
176.8,176.8,5.68,1.7,3.05,5.68,1.7,3.05,8.93,25,25,25
192.7,192.7,8.13,1.95,3.15,8.13,1.95,3.15,8.93,25,37,37
193.3,191.9,7.67,1.91,3.15,8.48,1.78,3.16,8.93,25,35.88,16.12
192.2,192.2,6.96,1.7,3.15,6.96,1.7,3.15,8.93,25,41,41
196,196,7.67,1.91,3.15,7.67,1.91,3.15,8.93,25,35,35
191.4,200.5,6.37,1.7,3.15,2.99,1.52,2.03,8.93,0,34,15
194,206.6,6.37,1.7,3.15,4.1,1.92,3.18,8.93,0,10.45,0.55
195.4,210.8,6.37,1.7,3.15,4.07,2.77,3.19,8.93,0,24,0
192.6,202.9,6.37,1.7,3.15,4.13,1.56,3.24,8.93,0,41,19
191.2,203.4,8.48,1.78,3.16,4.13,1.56,3.24,8.93,0,37,16
191.9,193.3,8.48,1.78,3.16,7.67,1.91,3.15,8.93,25,16.12,35.88
200.5,191.4,2.99,1.52,2.03,6.37,1.7,3.15,8.93,0,15,34
206.6,194,4.1,1.92,3.18,6.37,1.7,3.15,8.93,0,0.55,10.45
210.8,195.4,4.07,2.77,3.19,6.37,1.7,3.15,8.93,0,0,24
202.9,192.6,4.13,1.56,3.24,6.37,1.7,3.15,8.93,0,19,41
203.4,191.2,4.13,1.56,3.24,8.48,1.78,3.16,8.93,0,16,37
196,202.6,7.67,1.91,3.15,4.13,1.56,3.24,8.93,0,16,11
193.6,202.9,6.36,1.76,4.39,4.13,1.56,3.24,8.93,0,14,10
191.4,200.5,6.37,1.7,3.15,2.99,1.52,2.03,8.93,25,30,33
191.4,200.5,6.37,1.7,3.15,2.99,1.52,2.03,8.93,12.5,49,22
191.4,200.5,6.37,1.7,3.15,2.99,1.52,2.03,8.93,-30,7,0
192.8,203.8,6.37,1.7,3.15,6.25,1.56,4.57,8.93,0,32,14
192.8,203.8,6.37,1.7,3.15,6.25,1.56,4.57,8.93,25,25,25
195.4,210.8,6.37,1.7,3.15,4.07,2.77,3.19,8.93,0,7,0
192.2,200.5,6.96,1.7,3.15,6.96,1.7,3.15,8.93,0,36,11
192.2,200.5,6.96,1.7,3.15,6.96,1.7,3.15,8.93,25,34,15
189.5,200.3,6.96,1.7,3.15,2.99,1.52,2.03,8.93,0,33,35
194.1,205.4,6.37,1.7,3.15,4.24,1.8,4.26,8.93,0,0,0
195.1,202.9,6.36,1.76,4.39,7.96,1.7,6.71,8.93,0,19.2,4.8
202.6,196,4.13,1.56,3.24,7.67,1.91,3.15,8.93,0,11,16
202.9,193.6,4.13,1.56,3.24,6.36,1.76,4.39,8.93,0,10,14
200.5,191.4,2.99,1.52,2.03,6.37,1.7,3.15,8.93,25,33,30
200.5,191.4,2.99,1.52,2.03,6.37,1.7,3.15,8.93,12.5,22,49
200.5,191.4,2.99,1.52,2.03,6.37,1.7,3.15,8.93,-30,0,7
203.8,192.8,6.25,1.56,4.57,6.37,1.7,3.15,8.93,0,14,32
203.8,192.8,6.25,1.56,4.57,6.37,1.7,3.15,8.93,25,25,25
210.8,195.4,4.07,2.77,3.19,6.37,1.7,3.15,8.93,0,0,7
200.5,192.2,6.96,1.7,3.15,6.96,1.7,3.15,8.93,0,11,36
200.5,192.2,6.96,1.7,3.15,6.96,1.7,3.15,8.93,25,15,34
200.3,189.5,2.99,1.52,2.03,6.96,1.7,3.15,8.93,0,35,33
205.4,194.1,4.24,1.8,4.26,6.37,1.7,3.15,8.93,0,0,0
202.9,195.1,7.96,1.7,6.71,6.36,1.76,4.39,8.93,0,4.8,19.2
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,37.219,12.5,27.5,27.5
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,46.826,25,0,0
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,10.125,25,35,35
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,8.93,12.5,32.5,32.5
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,8.93,40,32.5,32.5
194.6,194.6,6.37,1.7,3.15,6.37,1.7,3.15,8.93,0,26,26
192,185.9,6.37,1.7,3.15,4.04,1.46,6.97,8.93,25,6.16,21.84
185.9,192,4.04,1.46,6.97,6.37,1.7,3.15,8.93,25,21.84,6.16
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,8.93,25,7.68,56.32
